filename,rating
Systems Analyst.txt,8
Systems Engineer.txt,8
Teacher Aide.txt,8
Technical Support.txt,8
Technical Writer.txt,7
Therapist.txt,8
Training Manager.txt,8
Training Specialist.txt,8
Translator.txt,9
Travel Agent.txt,7
Truck Driver.txt,8
Tutor.txt,8
Underwriter.txt,8
Veterinarian.txt,7
Veterinary Assistant.txt,9
Veterinary Technician.txt,7
Video Editor.txt,8
Visual Merchandiser.txt,7
Waiter.txt,8
Waitress.txt,8
Warehouse Supervisor.txt,8
Warehouse.txt,8
Web Developer.txt,8
Welder.txt,8
Writer.txt,7
